,date,USD,EUR,KZT,UAH,BYR
36,01/2006,28.7825,34.185,0.215337,5.67232,0.013363400000000001
37,02/2006,28.1305,34.0492,0.213002,5.49284,0.0130756
38,03/2006,28.1211,33.3291,0.215807,5.50315,0.0130665
39,04/2006,27.6996,33.6273,0.215729,5.42258,0.0128746
40,05/2006,27.2739,34.1906,0.21917,5.37279,0.0126848
41,06/2006,26.9355,34.7064,0.222155,5.3830100000000005,0.0125603
42,07/2006,26.9423,34.2383,0.22770700000000002,5.34824,0.012571500000000001
43,08/2006,26.8197,34.2112,0.22661,5.32,0.0125158
44,09/2006,26.7295,34.318,0.213213,5.290979999999999,0.012478
45,10/2006,26.7799,33.9783,0.21049199999999998,5.29896,0.012505200000000001
46,11/2006,26.7811,33.9852,0.209511,5.28414,0.0125036
47,12/2006,26.3081,34.6899,0.205628,5.20303,0.0122874
48,01/2007,26.3311,34.6965,0.207609,5.21987,0.012290599999999999
49,02/2007,26.5484,34.3802,0.21032299999999998,5.23823,0.0123467
50,03/2007,26.1481,34.539,0.21000800000000003,5.16567,0.0121718
51,04/2007,26.0113,34.6861,0.210061,5.13966,0.0121237
52,05/2007,25.6851,35.0653,0.213842,5.082330000000001,0.011947900000000001
53,06/2007,25.9043,34.8128,0.211337,5.13709,0.012049200000000001
54,07/2007,25.8162,34.715,0.21101099999999998,5.11465,0.0120187
55,08/2007,25.5448,35.0015,0.206631,5.07778,0.0118917
56,09/2007,25.6262,35.0233,0.202803,5.095280000000001,0.011914300000000001
57,10/2007,24.9493,35.3457,0.206255,4.95517,0.011601
58,11/2007,24.6724,35.6492,0.204098,4.877129999999999,0.011457499999999999
59,12/2007,24.4171,36.0055,0.20202,4.81239,0.0113252
60,01/2008,24.5462,35.9332,0.203492,4.82357,0.011389699999999999
61,02/2008,24.4262,36.29,0.203185,4.7900100000000005,0.0113498
62,03/2008,24.0023,36.5099,0.198601,4.70975,0.011176199999999999
63,04/2008,23.5027,37.0873,0.194725,4.66203,0.010944200000000001
64,05/2008,23.6588,36.8959,0.19649899999999998,4.73583,0.0110478
65,06/2008,23.7384,36.7827,0.196848,4.93501,0.0111144
66,07/2008,23.4068,36.971,0.193826,4.96359,0.011014300000000001
67,08/2008,23.4186,36.5752,0.19483,5.01576,0.0110752
68,09/2008,24.5769,36.2264,0.20550999999999997,5.285349999999999,0.0116368
69,10/2008,25.3718,36.4999,0.211555,5.0052900000000005,0.0120046
70,11/2008,27.0981,34.4092,0.226138,4.52767,0.0128214
71,12/2008,27.606,35.7166,0.22933299999999998,3.74319,0.012888
72,01/2009,29.3916,41.4275,0.242475,3.82952,0.0133537
73,02/2009,35.4146,45.6636,0.290212,4.5564,0.013005699999999999
74,03/2009,35.7205,45.3543,0.23705400000000001,4.2024099999999995,0.0125291
75,04/2009,33.9032,44.8946,0.224651,4.21158,0.011946199999999999
76,05/2009,32.974,43.9939,0.21861,4.060840000000001,0.0116681
77,06/2009,30.9843,43.378,0.205889,4.05288,0.0111214
78,07/2009,31.0385,43.8512,0.206222,4.05732,0.0109368
79,08/2009,31.1533,43.9978,0.20668299999999998,3.8796100000000004,0.010931
80,09/2009,31.8397,45.4321,0.211097,3.7657800000000003,0.011266700000000001
81,10/2009,30.0087,43.8877,0.198812,3.60898,0.0108531
82,11/2009,29.0488,43.0678,0.19267600000000001,3.5339199999999997,0.0105863
83,12/2009,29.0687,43.7658,0.195486,3.6267899999999997,0.0104451
84,01/2010,30.1851,43.4605,0.20323899999999998,3.7497,0.0105395
85,02/2010,30.4312,42.4637,0.205686,3.7896900000000002,0.010540800000000001
86,03/2010,29.9484,40.8047,0.203281,3.7332799999999997,0.0102178
87,04/2010,29.4956,39.5713,0.20069099999999998,3.6999000000000004,0.009901199999999999
88,05/2010,29.1537,38.6986,0.199042,3.65885,0.0098426
89,06/2010,30.74,37.8133,0.209579,3.8788600000000004,0.0102433
90,07/2010,31.2554,38.2097,0.21180800000000002,3.94569,0.0103529
91,08/2010,30.1869,39.4694,0.20435199999999998,3.82316,0.0101434
92,09/2010,30.8669,39.0127,0.20948699999999998,3.91364,0.0102446
93,10/2010,30.5126,41.4392,0.206746,3.8438600000000003,0.010133699999999999
94,11/2010,30.7821,42.7256,0.20864999999999997,3.87172,0.0102198
95,12/2010,31.3335,41.0814,0.212229,3.93316,0.010334300000000001
96,01/2011,30.3505,40.4876,0.20582899999999998,3.80929,0.010113500000000001
97,02/2011,29.8018,40.5811,0.20271999999999998,3.75101,0.0098944
98,03/2011,28.9028,39.8136,0.197992,3.6412999999999998,0.009561
99,04/2011,28.5162,40.3875,0.19567199999999998,3.57682,0.00936185
100,05/2011,27.5022,40.8078,0.18886299999999998,3.4528799999999995,0.00912482
101,06/2011,27.9805,40.2444,0.19240500000000002,3.50655,0.00562083
102,07/2011,27.8726,40.4153,0.19110499999999997,3.48909,0.005613819999999999
103,08/2011,27.6796,39.5182,0.18913900000000003,3.4612499999999997,0.00559071
104,09/2011,28.9278,41.7631,0.19733799999999999,3.62005,0.00567546
105,10/2011,32.11,43.4191,0.216864,4.015610000000001,0.00569326
106,11/2011,30.1245,42.1833,0.20384,3.76321,0.0035440600000000004
107,12/2011,31.4001,41.7559,0.212572,3.91498,0.0036511699999999996
108,01/2012,32.1961,41.6714,0.216874,4.00549,0.00385582
109,02/2012,30.3131,39.9678,0.204039,3.7731000000000003,0.00362164
110,03/2012,29.0253,39.1029,0.196475,3.63066,0.00359669
111,04/2012,29.3282,39.1707,0.198371,3.65165,0.00363423
112,05/2012,29.3627,38.9203,0.19871200000000003,3.6547600000000005,0.00364754
113,06/2012,32.9173,40.8076,0.222347,4.07367,0.00394219
114,07/2012,32.8169,41.323,0.21962099999999998,4.062250000000001,0.00393488
115,08/2012,32.2058,39.5101,0.21467,3.97735,0.0039037300000000002
116,09/2012,32.5669,40.7249,0.21762,4.010949999999999,0.0038724
117,10/2012,30.9169,39.9786,0.205982,3.79442,0.00366314
118,11/2012,31.3743,40.6548,0.208052,3.83643,0.00367811
119,12/2012,30.811,40.0759,0.204697,3.7621200000000004,0.00359103
120,01/2013,30.3727,40.2286,0.20210699999999998,3.7590000000000003,0.0035337600000000004
121,02/2013,30.0161,40.7138,0.19898,3.69429,0.0034781100000000004
122,03/2013,30.5124,40.1024,0.202936,3.74477,0.00354178
123,04/2013,31.0834,39.8023,0.20600000000000002,3.8162599999999998,0.00358104
124,05/2013,31.0433,40.6264,0.20531300000000002,3.82189,0.0035971400000000004
125,06/2013,31.7979,41.4486,0.209922,3.9044600000000003,0.00365914
126,07/2013,32.709,42.718,0.215673,4.010669999999999,0.00372116
127,08/2013,33.033,43.7786,0.21516400000000002,4.0676000000000005,0.00371366
128,09/2013,33.2474,44.0129,0.216899,4.093249999999999,0.00368801
129,10/2013,32.4839,43.8143,0.21120899999999998,3.9658,0.0035677
130,11/2013,32.0758,43.9406,0.208014,3.9176499999999996,0.0034657800000000003
131,12/2013,33.1916,45.187,0.215663,4.0443,0.0035499000000000004
132,01/2014,32.6587,45.0559,0.21175999999999998,3.9634300000000002,0.0034233400000000004
133,02/2014,35.18,47.6408,0.22623100000000002,4.1856,0.00364182
134,03/2014,36.1847,49.5839,0.196347,3.3817500000000003,0.0036942
135,04/2014,35.6053,48.968,0.195537,3.16492,0.00360013
136,05/2014,35.7227,49.3188,0.196219,3.11989,0.0035758499999999998
137,06/2014,34.7352,47.2677,0.189303,2.94366,0.0034459499999999997
138,07/2014,33.8434,46.1827,0.184418,2.88029,0.00331798
139,08/2014,35.4438,47.4699,0.19364,2.89692,0.0034344799999999997
140,09/2014,36.9316,48.6315,0.20291,2.73567,0.0035409
141,10/2014,39.3836,49.9817,0.21647099999999997,3.0412,0.0037119300000000004
142,11/2014,41.9627,52.7219,0.232011,3.2272799999999995,0.00391078
143,12/2014,49.322,61.4108,0.272542,3.2831,0.00453327
144,01/2015,56.2376,68.3681,0.308143,3.55525,0.00387846
145,02/2015,68.9291,78.1105,0.37371099999999996,4.32993,0.0044100499999999996
146,03/2015,61.2718,68.6857,0.330663,2.07701,0.00409845
147,04/2015,57.65,62.0487,0.310447,2.45842,0.00392177
148,05/2015,51.1388,57.1578,0.275236,2.40653,0.00358366
149,06/2015,52.9716,58.0145,0.28485499999999997,2.5105,0.0035611199999999997
150,07/2015,55.8413,62.3803,0.299883,2.65911,0.00365813
151,08/2015,60.3458,66.0002,0.321947,2.85323,0.0039649
152,09/2015,66.7152,74.8478,0.27856000000000003,3.06737,0.00383862
153,10/2015,65.7364,73.776,0.242588,3.08549,0.00371917
154,11/2015,64.3742,70.7537,0.229859,2.7928100000000002,0.0036901200000000003
155,12/2015,66.737,70.6478,0.216996,2.80998,0.0036957
156,01/2016,72.9299,79.6395,0.213821,3.0352,0.0039041699999999998
157,02/2016,75.1723,81.9077,0.206961,2.95954,0.00360971
158,03/2016,75.8994,83.1023,0.21701,2.80072,0.00353185
159,04/2016,67.8552,76.9207,0.19741399999999998,2.5849599999999997,0.00336834
160,05/2016,64.3334,73.3015,0.196618,2.55291,0.0033472099999999998
161,06/2016,65.9962,73.4406,0.19654,2.62358,0.00333483
162,07/2016,64.1755,71.2926,0.189448,2.5846,31.8884
163,08/2016,67.0512,74.3799,0.190273,2.70368,33.618
164,09/2016,65.2535,72.6859,0.19169899999999998,2.50013,33.3096
165,10/2016,63.396,70.9338,0.188946,2.44348,32.9415
166,11/2016,63.2174,69.2863,0.188664,2.47911,33.2111
167,12/2016,65.2382,69.3417,0.19091999999999998,2.54837,32.9652
168,01/2017,60.6569,63.8111,0.181637,2.23826,30.9474
169,02/2017,60.0851,64.285,0.18574300000000002,2.2163399999999998,31.0598
170,03/2017,57.9627,61.3883,0.18537700000000001,2.13333,30.7658
171,04/2017,55.9606,59.8107,0.178432,2.0707,29.8935
172,05/2017,56.9838,62.044,0.181226,2.14669,30.4401
173,06/2017,56.6876,63.4107,0.181531,2.1548100000000003,30.3548
174,07/2017,59.3862,67.8072,0.183719,2.28058,30.6193
175,08/2017,60.0633,70.4603,0.18218399999999998,2.32308,30.8809
176,09/2017,58.5454,69.6222,0.173291,2.2767,30.2638
177,10/2017,58.0169,68.4483,0.170075,2.1815,29.5357
178,11/2017,58.1179,67.6434,0.17363900000000002,2.16373,29.4417
179,12/2017,58.5814,69.5185,0.176847,2.1565000000000003,29.0755
180,01/2018,57.6002,68.8668,0.173184,2.04955,29.1013
181,02/2018,56.184,69.9322,0.17416,2.0181,28.3829
182,03/2018,56.3742,68.9062,0.17596299999999998,2.10351,28.7697
183,04/2018,57.2649,70.5618,0.17982900000000002,2.1761299999999997,29.329
184,05/2018,61.9997,75.2056,0.189546,2.36369,31.0542
185,06/2018,62.0188,72.5806,0.188281,2.37483,30.8398
186,07/2018,62.7565,72.9921,0.183843,2.38527,31.5359
187,08/2018,62.3497,73.0738,0.17957599999999999,2.3199899999999998,31.4374
188,09/2018,68.0447,79.4966,0.187126,2.4086600000000002,32.6745
189,10/2018,65.5906,76.2294,0.180626,2.32056,31.093
190,11/2018,65.5962,74.4189,0.17775300000000002,2.3348,30.9562
191,12/2018,66.5335,75.7484,0.178169,2.35508,31.2217
192,01/2019,69.4706,79.4605,0.18056999999999998,2.50706,32.0732
193,02/2019,65.3577,75.2006,0.171867,2.35499,30.406
194,03/2019,65.8895,74.9691,0.17573799999999998,2.45673,30.8212
195,04/2019,64.7347,72.723,0.170498,2.38008,30.4305
196,05/2019,64.6314,72.3096,0.169558,2.44839,30.6906
197,06/2019,65.3834,72.8436,0.170928,2.4333,31.1884
198,07/2019,63.0756,71.8179,0.16575900000000002,2.41161,30.8831
199,08/2019,63.4172,70.7355,0.164966,2.53276,31.1648
200,09/2019,66.4897,73.3847,0.171686,2.6458500000000003,31.6768
201,10/2019,64.6407,70.7169,0.166503,2.67497,31.1266
202,11/2019,63.7748,71.1918,0.164083,2.56843,31.099
203,12/2019,64.0817,70.5475,0.165875,2.67341,30.4022
204,01/2020,61.9057,69.3777,0.161665,2.61205,29.3545
205,02/2020,63.1385,69.5976,0.16653700000000002,2.5229600000000003,29.5495
206,03/2020,66.9909,73.7235,0.17554099999999997,2.7257000000000002,29.9347
207,04/2020,77.7325,85.7389,0.17427800000000002,2.75213,30.1979
208,05/2020,72.7263,79.1189,0.171298,2.6979800000000003,30.1832
209,06/2020,70.752,78.5489,0.17164300000000002,2.62872,29.3516
210,07/2020,70.4413,78.9929,0.174099,2.64194,29.2106
211,08/2020,73.4261,87.2889,0.174086,2.65196,30.089
212,09/2020,73.8039,87.8266,0.175623,2.67537,27.7866
213,10/2020,78.7847,92.4302,0.18199500000000002,2.78337,30.0739
214,11/2020,79.3323,92.6284,0.183154,2.78971,30.0946
215,12/2020,76.1999,91.2037,0.179066,2.67321,29.4583
216,01/2021,73.8757,90.7932,0.17525200000000002,2.60711,28.5234
217,02/2021,76.2527,92.2963,0.179782,2.7094,29.0431
218,03/2021,74.4373,90.3743,0.17825500000000002,2.66296,28.5879
219,04/2021,75.6373,88.7452,0.17780100000000001,2.71942,28.8483
220,05/2021,74.8451,90.585,0.174178,2.69783,29.2398
221,06/2021,73.2965,89.3778,0.170912,2.66893,28.9732
222,07/2021,72.7234,86.5118,0.16977799999999998,2.67074,28.749
223,08/2021,73.1388,86.9913,0.171891,2.7271799999999997,29.2006
224,09/2021,73.2781,86.666,0.17175200000000002,2.72558,29.2726
225,10/2021,72.6642,84.305,0.170653,2.7288699999999997,29.0065
226,11/2021,70.52,82.2898,0.16494,2.68152,29.1501
227,12/2021,74.8926,84.8234,0.170443,2.74319,29.4331
228,01/2022,74.2926,84.0695,0.16899999999999998,2.7258400000000003,29.1458
229,02/2022,77.4702,86.5032,0.178379,2.71136,29.8444
230,03/2022,93.5589,104.4772,0.188393,3.10053,33.9264
231,04/2022,83.4097,92.493,0.177349,2.82427,28.3398
232,05/2022,71.0237,74.5589,0.158362,2.34698,26.7671
233,06/2022,61.6069,62.7397,0.144147,2.0778,23.9111
234,07/2022,52.5123,54.6405,0.11291000000000001,1.77865,20.4623
